[ 2016-09-16T22:20:29+08:00 ] / | INFO: Run ShowRuntime Behavior [ RunTime:0.000075s ]
[ 2016-09-16T22:20:29+08:00 ] / | INFO: Tag[ view_filter ] --END-- [ RunTime:0.000268s ]
[ 2016-09-16T22:20:29+08:00 ] / | INFO: Tag[ view_end ] --START--
[ 2016-09-16T22:20:29+08:00 ] / | INFO: Run ShowPageTrace Behavior [ RunTime:0.000046s ]
[ 2016-09-16T22:20:29+08:00 ] / | INFO: Tag[ view_end ] --END-- [ RunTime:0.000071s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Tag[ route_check ] --START--
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Run CheckRoute Behavior [ RunTime:0.000110s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.000239s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Dispatcher.class.php 第 125 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Tag[ app_begin ] --START--
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000054s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000077s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] mysql_connect(): The mysql extension is deprecated and will be removed in the future: use mysqli or PDO instead DbMysql.class.php 第 67 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | SQL: SHOW COLUMNS FROM `march_news` [ RunTime:0.023216s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead Db.class.php 第 660 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | SQL: SELECT * FROM `march_news` WHERE idmarch_news = '305'  [ RunTime:0.023042s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | SQL: update march_news set news_num = news_num+1 where idmarch_news ='305' [ RunTime:0.040517s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [2] mysql_num_rows() expects parameter 1 to be resource, boolean given DbMysql.class.php 第 132 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Tag[ view_template ] --START--
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Run LocationTemplate Behavior [ RunTime:0.000124s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.000161s ]
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | INFO: Tag[ view_parse ] --START--
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 186 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 402 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
[ 2016-09-16T22:20:39+08:00 ] /index.php/News/show/nid/305.html | NOTIC: [8192] preg_replace(): The /e modifier is deprecated, use preg_replace_callback instead ThinkTemplate.class.php 第 406 行.
